id	email	password	firstName	lastName	isAdmin
0110e075-0d3b-4686-8cf5-11f93f46d6a2	Samir_Jaber_25@outlook.com	$2b$05$Zstbr3238M6S0R1EuzsF1O5OHibIJKWyxIDyRXSLyEj6g9V/tM22K	Samir	Jaber	0
06db28bc-ff34-4c32-b806-a64f9fe2674b	Rana_Khalil_23@msn.com	$2b$05$6yCovhr/vjPsGd4XIqExL.q4B8xVg7yiK1DP3kEKlOSiVo0musRna	Rana	Khalil	0
10b37fe8-3a6f-4ad5-8a82-03d5db06c089	Samir_Ibrahim_75@yahoo.com	$2b$05$REbBFdP9hELgUlUyEZU1/..V90pSKVnTbS/06EKgHEJprKvlkWIrC	Samir	Ibrahim	0
12e53da3-e5c4-4738-9341-0a5773ec481c	Ali_Jaber_59@hotmail.com	$2b$05$Tsrm7XTKbvI1UPJzTJa3auUDnS6zzqGrRg3roJdIZ89hH7ny6DVrO	Ali	Jaber	0
14906cc3-9f21-47a5-aef8-c9bfaa532163	Khaled_Saleh_26@hotmail.com	$2b$05$OPmj3Ki5javaqehYA5kmpO6rElBvJ/XWY0cyGYNXVmMluVUOFwDMm	Khaled	Saleh	0
15171359-140f-4f2e-a7d2-43cc55ecf28c	Nour_Tamer_40@outlook.com	$2b$05$hxDYP77zGKKA15.vG3Pza.28iojKPV9bXjXwXDwjSIUEd.NC2s/vO	Nour	Tamer	0
15aff507-d0c0-47bf-989c-988491760932	Fatima_Al-Harith_77@msn.com	$2b$05$Y0drKnXo9QYAZb2z4tSKuO8dpGOHzhMRzXz6MacTeLeaotjggCYdi	Fatima	Al-Harith	0
17eccc60-6b8b-4041-8706-635e45f49c3f	Dina_Haddad_17@live.com	$2b$05$dyUPkjRqdg6ZJqZktGeH2.H8zoLeM0GPlzAB9VNOU3DTHWbD9U77e	Dina	Haddad	0
1d9ff694-f870-4d7b-931f-9e8fb3a201af	Farah_Matar_51@outlook.com	$2b$05$3bhWyDYHGYS9Uu0ETnPa7OXV6TcD3TzAZx1n0MreOjYcRk1ujPPGS	Farah	Matar	0
1dad59cc-ec62-4b74-975a-65aa73db429d	Mariam_Al-Najjar_72@gmail.com	$2b$05$akSPU2OnS5JpE6RKqV5NluMTS8hW3.XIOrv2zDAIAgBe2j4fJ9Kku	Mariam	Al-Najjar	0
1fbaef3a-7ac3-4b6a-ac8d-8c63101164b5	Youssef_Khalil_7@outlook.com	$2b$05$zK/x5F47US.9zE4vvOhT2.LvyYDhQsfQiYZg6483alS3OJT31meOK	Youssef	Khalil	0
202fd9a9-72a0-471a-ad58-34112164d295	Khaled_Tamer_66@icloud.com	$2b$05$9rL2LaOnNfOAefGQ9Zee/eiypJTkX8TdJoZjGUqGTPPvt6U72rana	Khaled	Tamer	0
23f6ef7b-3f91-4d39-8c09-e1d065f0f967	Farah_El-Shami_74@hotmail.com	$2b$05$vsPUgv0ts0TLkOZk9q3rY.lp/rIBa.ROzROqYo5i0aQPRZbfbPvV2	Farah	El-Shami	0
26448964-5c44-4d48-a740-85bf1cff6cdd	Mariam_Fadel_51@yahoo.com	$2b$05$G1k9bk1jCXyUSam9r/.bEecmtS6C2vGyJ1.LNH7NRnAgqs0wHSxTO	Mariam	Fadel	0
2730a63c-7f14-40f2-a65c-68e39894602e	Aisha_Khalil_85@outlook.com	$2b$05$I.g6QDu4h/Vj1bpE/m/nbuKRZRyWp0Yk4VkI7qfIEDUJPZSJ3Wzz.	Aisha	Khalil	0
2890fe01-cf49-4d1f-927c-2895a198b142	Fatima_Saleh_16@icloud.com	$2b$05$R5wjbcF/4raa1kO1hT914OqK3sBxFEYbUZZuASNFTGn3XYAxNrMVq	Fatima	Saleh	0
2a4983f6-2bdc-4455-b6e0-099fcd5a54a8	Ahmed_Mahmoud_56@hotmail.com	$2b$05$zDWWy4zrvpJ9YKEulwGx3u1nSVt4SDWJE.hKdT5EgzaswBcL7ezFG	Ahmed	Mahmoud	0
2adfaf6c-85d3-4e38-9db6-bfc4c39f2373	Amira_Ibrahim_86@outlook.com	$2b$05$1gtFmdhv2veNfZoSzA/hLuDABMPhtLHB48HpffaPbiWijTBy24aGu	Amira	Ibrahim	0
2c9e0ef2-8714-4749-bfe2-822e4568fbf7	Mustafa_Matar_27@icloud.com	$2b$05$TDCBhU5QvISRyMIHIkLoRe9qdKlmQDfUKOLW8s15eoZr0xDUL9egS	Mustafa	Matar	0
357d61c5-1a43-42f4-88ea-3e570573a06d	Yasmin_Saleh_51@hotmail.com	$2b$05$nFA90InLenJ.C8TeeiKqZOWKBNanledevQmssJu.xkK9asAVFGJ5a	Yasmin	Saleh	0
37b831e5-ef63-4ef4-b6b1-afa074085f6c	Yasmin_Fadel_92@yahoo.com	$2b$05$C9XcN70PoMQyG/TgA3Byr.I/FNPVtAFBr8kaIRPZugAsC020BsXoi	Yasmin	Fadel	0
38f17e9b-1066-43ae-9bba-2399bd5fb992	Yasmin_Barakat_48@yahoo.com	$2b$05$Wqt51SaoDk1/Ca9qaGfe/O0PpejqK0iq3Au03kOF9uM0W2eVCJr/.	Yasmin	Barakat	0
